name,energy,protein,sugar,fats,fiber,unit_vector,distance
houbová polévka Dr.Staněk,366.0,23.0,41.0,11.0,7.0,[0.47638349 0.84920535 0.22783558],0.021961280246064533
Oat bakes white choc&berry flavour Myprotein,350.0,25.0,45.0,11.0,3.0,[0.47492141 0.85485853 0.20896542],0.02294270818769512
The 1:1 Diet Caramel Bites Cambridge Weight Plan,357.0,23.0,43.0,10.0,6.0,[0.46203746 0.86380916 0.20088585],0.02316588976494129
Cambridge Toffee Flavour Chewy Bar,355.0,22.0,42.0,12.0,4.0,[0.44982345 0.85875386 0.24535825],0.023452154757626582
Chocolate Chewy Bar,357.0,22.0,42.0,12.0,5.0,[0.44982345 0.85875386 0.24535825],0.023452154757626582
Quick&Easy Kuskus se zeleninou Kotányi,232.0,11.0,21.0,6.0,,[0.44982345 0.85875386 0.24535825],0.023452154757626582
Cambridge tyčinka toffee,355.0,22.0,42.0,12.0,4.0,[0.44982345 0.85875386 0.24535825],0.023452154757626582
"Čína s vepřovým masem, jasmínová rýže",135.0,9.0,16.0,4.0,,[0.47902167 0.85159407 0.21289852],0.025105986624521744
Kuskusové rizoto s kuřecím masem sypané sýrem Apetit,134.0,9.0,16.0,4.0,,[0.47902167 0.85159407 0.21289852],0.025105986624521744
Cambridge proteinová tyčinka,327.0,21.0,42.0,11.0,6.0,[0.43542608 0.87085216 0.22808033],0.025311834065424553
"Těstoviny s mletým masem a cibulkou, dušené červené zelí Zdravé stravování",107.0,7.0,13.0,3.0,,[0.46460632 0.86284031 0.19911699],0.025322367818696557
rizoto kuřecí se špenátem,111.0,7.0,13.0,3.0,0.7,[0.46460632 0.86284031 0.19911699],0.025322367818696557
salát s černou čočkou a sýrem,108.0,7.0,13.0,3.0,,[0.46460632 0.86284031 0.19911699],0.025322367818696557
noodles and chicken Frosta,111.0,7.0,13.0,3.0,0.0,[0.46460632 0.86284031 0.19911699],0.025322367818696557
"Pohanka zapečená s houbami, šunkou a sýrem",107.0,7.0,13.0,3.0,,[0.46460632 0.86284031 0.19911699],0.025322367818696557
BIO Aloe Vera - Allnature,2.0,0.07,0.13,0.03,,[0.46460632 0.86284031 0.19911699],0.025322367818696585
Bio Aloe Vera 100% šťáva Wolfberry,2.0,0.07,0.13,0.03,0.1,[0.46460632 0.86284031 0.19911699],0.025322367818696585
Jogurt z jižních Čech jahoda Agrola,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Cari de Lentilles & Pois chiches D'aucy,101.0,6.0,12.0,3.0,4.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
jogurt ve skle ovocný Agrola,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
míchaný listový salát v italském stylu M&S,22.0,1.0,2.0,0.5,1.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
jogurt borůvka Agrola,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Jihočeský jogurt tradiční ostružina malina 2,5% Madeta",96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Peach Soy Product Alpro,70.0,4.0,8.0,2.0,0.9,[0.43643578 0.87287156 0.21821789],0.02545942480600966
hovězí vývar s játrovou rýží Expres Menu,62.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
boršč polévka,35.0,2.0,4.0,1.0,0.3,[0.43643578 0.87287156 0.21821789],0.02545942480600966
jogurt agrola ananas,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
tvarohové knedlíky,269.0,16.0,32.0,8.0,0.79,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Zde žije jogurt z jižních Čech borůvkový Agro-la,96.0,6.0,12.0,3.0,0.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
buchta tvarohová,167.0,10.0,20.0,5.0,1.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Fazolová polévka s klobásou Švéda,67.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Santee Selection čaj ovocný 6 druhů,12.0,0.2,0.4,0.1,0.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Alpro Natural Vanilla,67.0,4.0,8.0,2.0,0.9,[0.43643578 0.87287156 0.21821789],0.02545942480600966
rýže s mexickým hovězím,200.0,12.0,24.0,6.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Kapary K-Classic,30.0,1.0,2.0,0.5,4.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Plantgurt Blueberry Alpro,70.0,4.0,8.0,2.0,1.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Psyllium originálne indické psyllium sterilizované parou Asp,201.0,2.0,4.0,1.0,87.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Fit & Easy party mix,15.0,1.0,2.0,0.5,2.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
kedlubnové zelí,74.0,4.0,8.0,2.0,4.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Jihočeský jogurt ananasový Agro-la,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Žampiony hlavičky v sladkokyselém nálevu Bahak,43.0,2.0,4.0,1.0,0.5,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Smažené čínské nudle (kuřecí maso, zelenina, vajíčko)",179.0,10.0,20.0,5.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Paťa termizovaná smetanovo tvarohová pěna,198.0,10.0,20.0,5.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Starbucks soya latte medium,37.0,2.0,4.0,1.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Zapečené celozrnné těstoviny s brokolicí, kuřecím masem, smetanou a sýrem",139.0,8.0,16.0,4.0,2.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
krůtí se špenátovou omáčkou špecle,132.0,8.0,16.0,4.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
dietni svíčková omáčka s jogurtem,38.0,2.0,4.0,1.0,2.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Soya Vanille Alpro,67.0,4.0,8.0,2.0,0.9,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Špenát s vejcem, brambory zdravé stravování s.r.o.",71.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
cizrna ve Slaném nálevu Ellebi,108.0,6.0,12.0,3.0,7.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Zde žije jogurt z jižních Čech švestka Agro-la,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Fazolová polévka s uzeninou Jospo,69.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Jihočeský jogurt tradiční jahoda 2,5% Madeta",96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
palačinka fitnessguru slaná,114.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
